id,count,unique_hashes,all_identical,created_list,updated_list,revisions,titles
3308381,2,1,True,2019-07-10T19:22:52.166623+00:00|2019-07-10T19:22:52.166623+00:00,2020-09-28T21:47:47.430143+00:00|2020-09-28T21:47:47.430143+00:00,8|8,Binary black-hole simulation SXS:BBH:1631 | Binary black-hole simulation SXS:BBH:1631
3308396,2,1,True,2019-07-10T19:23:25.018606+00:00|2019-07-10T19:23:25.018606+00:00,2020-09-28T21:47:43.020361+00:00|2020-09-28T21:47:43.020361+00:00,8|8,Binary black-hole simulation SXS:BBH:1827 | Binary black-hole simulation SXS:BBH:1827
3308411,2,1,True,2019-07-10T19:24:00.292836+00:00|2019-07-10T19:24:00.292836+00:00,2020-09-28T21:47:38.668953+00:00|2020-09-28T21:47:38.668953+00:00,8|8,Binary black-hole simulation SXS:BBH:1994 | Binary black-hole simulation SXS:BBH:1994
3308426,2,1,True,2019-07-10T19:24:32.785320+00:00|2019-07-10T19:24:32.785320+00:00,2020-09-28T21:45:49.859297+00:00|2020-09-28T21:45:49.859297+00:00,8|8,Binary black-hole simulation SXS:BBH:1989 | Binary black-hole simulation SXS:BBH:1989
3308441,2,1,True,2019-07-10T19:25:07.847675+00:00|2019-07-10T19:25:07.847675+00:00,2020-09-28T21:45:45.473131+00:00|2020-09-28T21:45:45.473131+00:00,8|8,Binary black-hole simulation SXS:BBH:1515 | Binary black-hole simulation SXS:BBH:1515
3308456,2,1,True,2019-07-10T19:25:41.715024+00:00|2019-07-10T19:25:41.715024+00:00,2020-09-28T21:45:40.998183+00:00|2020-09-28T21:45:40.998183+00:00,8|8,Binary black-hole simulation SXS:BBH:2058 | Binary black-hole simulation SXS:BBH:2058
3308473,2,1,True,2019-07-10T19:26:22.132406+00:00|2019-07-10T19:26:22.132406+00:00,2020-09-28T21:45:36.765871+00:00|2020-09-28T21:45:36.765871+00:00,8|8,Binary black-hole simulation SXS:BBH:1638 | Binary black-hole simulation SXS:BBH:1638
3308486,2,1,True,2019-07-10T19:26:53.666508+00:00|2019-07-10T19:26:53.666508+00:00,2020-09-28T21:45:32.434196+00:00|2020-09-28T21:45:32.434196+00:00,8|8,Binary black-hole simulation SXS:BBH:1726 | Binary black-hole simulation SXS:BBH:1726
3308503,2,1,True,2019-07-10T19:27:30.281486+00:00|2019-07-10T19:27:30.281486+00:00,2020-09-28T21:45:28.188766+00:00|2020-09-28T21:45:28.188766+00:00,8|8,Binary black-hole simulation SXS:BBH:1666 | Binary black-hole simulation SXS:BBH:1666
3308518,2,1,True,2019-07-10T19:28:05.418749+00:00|2019-07-10T19:28:05.418749+00:00,2020-09-28T21:48:21.996549+00:00|2020-09-28T21:48:21.996549+00:00,8|8,Binary black-hole simulation SXS:BBH:1665 | Binary black-hole simulation SXS:BBH:1665
3308535,2,1,True,2019-07-10T19:28:41.766037+00:00|2019-07-10T19:28:41.766037+00:00,2020-09-28T21:48:17.645553+00:00|2020-09-28T21:48:17.645553+00:00,8|8,Binary black-hole simulation SXS:BBH:1788 | Binary black-hole simulation SXS:BBH:1788
3308546,2,1,True,2019-07-10T19:29:09.093954+00:00|2019-07-10T19:29:09.093954+00:00,2020-09-28T21:48:13.373041+00:00|2020-09-28T21:48:13.373041+00:00,8|8,Binary black-hole simulation SXS:BBH:1997 | Binary black-hole simulation SXS:BBH:1997
3308557,2,1,True,2019-07-10T19:29:31.649564+00:00|2019-07-10T19:29:31.649564+00:00,2020-09-28T21:48:09.109696+00:00|2020-09-28T21:48:09.109696+00:00,8|8,Binary black-hole simulation SXS:BBH:1816 | Binary black-hole simulation SXS:BBH:1816
3308568,2,1,True,2019-07-10T19:29:58.131983+00:00|2019-07-10T19:29:58.131983+00:00,2020-09-28T21:48:04.853218+00:00|2020-09-28T21:48:04.853218+00:00,8|8,Binary black-hole simulation SXS:BBH:1690 | Binary black-hole simulation SXS:BBH:1690
3308581,2,1,True,2019-07-10T19:30:28.627852+00:00|2019-07-10T19:30:28.627852+00:00,2020-09-28T21:48:00.620475+00:00|2020-09-28T21:48:00.620475+00:00,8|8,Binary black-hole simulation SXS:BBH:2052 | Binary black-hole simulation SXS:BBH:2052
3308596,2,1,True,2019-07-10T19:31:04.411001+00:00|2019-07-10T19:31:04.411001+00:00,2020-09-28T21:45:23.947498+00:00|2020-09-28T21:45:23.947498+00:00,8|8,Binary black-hole simulation SXS:BBH:1957 | Binary black-hole simulation SXS:BBH:1957
3308611,2,1,True,2019-07-10T19:31:40.964251+00:00|2019-07-10T19:31:40.964251+00:00,2020-09-28T21:45:19.592831+00:00|2020-09-28T21:45:19.592831+00:00,8|8,Binary black-hole simulation SXS:BBH:1831 | Binary black-hole simulation SXS:BBH:1831
3308631,2,1,True,2019-07-10T19:32:27.272069+00:00|2019-07-10T19:32:27.272069+00:00,2020-09-28T21:45:10.780913+00:00|2020-09-28T21:45:10.780913+00:00,8|8,Binary black-hole simulation SXS:BBH:1741 | Binary black-hole simulation SXS:BBH:1741
3308645,2,1,True,2019-07-10T19:32:58.660228+00:00|2019-07-10T19:32:58.660228+00:00,2020-09-28T21:45:06.382275+00:00|2020-09-28T21:45:06.382275+00:00,8|8,Binary black-hole simulation SXS:BBH:1750 | Binary black-hole simulation SXS:BBH:1750
3308658,2,1,True,2019-07-10T19:33:29.759474+00:00|2019-07-10T19:33:29.759474+00:00,2020-09-28T21:45:02.078437+00:00|2020-09-28T21:45:02.078437+00:00,8|8,Binary black-hole simulation SXS:BBH:2056 | Binary black-hole simulation SXS:BBH:2056
3308671,2,1,True,2019-07-10T19:33:56.634788+00:00|2019-07-10T19:33:56.634788+00:00,2020-09-28T21:47:08.950057+00:00|2020-09-28T21:47:08.950057+00:00,8|8,Binary black-hole simulation SXS:BBH:1575 | Binary black-hole simulation SXS:BBH:1575
3308684,2,1,True,2019-07-10T19:34:30.878351+00:00|2019-07-10T19:34:30.878351+00:00,2020-09-28T21:47:04.575300+00:00|2020-09-28T21:47:04.575300+00:00,8|8,Binary black-hole simulation SXS:BBH:1543 | Binary black-hole simulation SXS:BBH:1543
3308699,2,1,True,2019-07-10T19:35:04.702836+00:00|2019-07-10T19:35:04.702836+00:00,2020-09-28T21:47:00.054047+00:00|2020-09-28T21:47:00.054047+00:00,8|8,Binary black-hole simulation SXS:BBH:1946 | Binary black-hole simulation SXS:BBH:1946
3308710,2,1,True,2019-07-10T19:35:31.041123+00:00|2019-07-10T19:35:31.041123+00:00,2020-09-28T21:46:55.510570+00:00|2020-09-28T21:46:55.510570+00:00,8|8,Binary black-hole simulation SXS:BBH:1838 | Binary black-hole simulation SXS:BBH:1838
3308725,2,1,True,2019-07-10T19:36:05.624352+00:00|2019-07-10T19:36:05.624352+00:00,2020-09-28T21:46:51.359770+00:00|2020-09-28T21:46:51.359770+00:00,8|8,Binary black-hole simulation SXS:BBH:1880 | Binary black-hole simulation SXS:BBH:1880
3308738,2,1,True,2019-07-10T19:36:39.542081+00:00|2019-07-10T19:36:39.542081+00:00,2020-09-28T21:46:47.025459+00:00|2020-09-28T21:46:47.025459+00:00,8|8,Binary black-hole simulation SXS:BBH:1932 | Binary black-hole simulation SXS:BBH:1932
3308753,2,1,True,2019-07-10T19:37:14.238696+00:00|2019-07-10T19:37:14.238696+00:00,2020-09-28T21:48:39.118561+00:00|2020-09-28T21:48:39.118561+00:00,8|8,Binary black-hole simulation SXS:BBH:2044 | Binary black-hole simulation SXS:BBH:2044
3308764,2,1,True,2019-07-10T19:37:42.855588+00:00|2019-07-10T19:37:42.855588+00:00,2020-09-28T21:48:34.940122+00:00|2020-09-28T21:48:34.940122+00:00,8|8,Binary black-hole simulation SXS:BBH:1595 | Binary black-hole simulation SXS:BBH:1595
3308775,2,1,True,2019-07-10T19:38:12.187432+00:00|2019-07-10T19:38:12.187432+00:00,2020-09-28T21:48:30.697984+00:00|2020-09-28T21:48:30.697984+00:00,8|8,Binary black-hole simulation SXS:BBH:1984 | Binary black-hole simulation SXS:BBH:1984
3308782,2,1,True,2019-07-10T19:38:41.110219+00:00|2019-07-10T19:38:41.110219+00:00,2020-09-28T21:48:26.496442+00:00|2020-09-28T21:48:26.496442+00:00,8|8,Binary black-hole simulation SXS:BBH:1559 | Binary black-hole simulation SXS:BBH:1559
3308793,2,1,True,2019-07-10T19:39:09.485331+00:00|2019-07-10T19:39:09.485331+00:00,2020-09-28T21:47:34.520795+00:00|2020-09-28T21:47:34.520795+00:00,8|8,Binary black-hole simulation SXS:BBH:1875 | Binary black-hole simulation SXS:BBH:1875
3308802,2,1,True,2019-07-10T19:39:30.034727+00:00|2019-07-10T19:39:30.034727+00:00,2020-09-28T21:47:30.348250+00:00|2020-09-28T21:47:30.348250+00:00,8|8,Binary black-hole simulation SXS:BBH:1697 | Binary black-hole simulation SXS:BBH:1697
3308811,2,1,True,2019-07-10T19:39:59.206563+00:00|2019-07-10T19:39:59.206563+00:00,2020-09-28T21:47:26.035331+00:00|2020-09-28T21:47:26.035331+00:00,8|8,Binary black-hole simulation SXS:BBH:1987 | Binary black-hole simulation SXS:BBH:1987
3308822,2,1,True,2019-07-10T19:40:29.087567+00:00|2019-07-10T19:40:29.087567+00:00,2020-09-28T21:47:21.907876+00:00|2020-09-28T21:47:21.907876+00:00,8|8,Binary black-hole simulation SXS:BBH:1601 | Binary black-hole simulation SXS:BBH:1601
3308833,2,1,True,2019-07-10T19:40:59.638204+00:00|2019-07-10T19:40:59.638204+00:00,2020-09-28T21:47:17.543113+00:00|2020-09-28T21:47:17.543113+00:00,8|8,Binary black-hole simulation SXS:BBH:1541 | Binary black-hole simulation SXS:BBH:1541
3308846,2,1,True,2019-07-10T19:41:33.423608+00:00|2019-07-10T19:41:33.423608+00:00,2020-09-28T21:47:13.217579+00:00|2020-09-28T21:47:13.217579+00:00,8|8,Binary black-hole simulation SXS:BBH:2043 | Binary black-hole simulation SXS:BBH:2043
3308857,2,1,True,2019-07-10T19:42:03.693151+00:00|2019-07-10T19:42:03.693151+00:00,2020-09-28T21:46:42.865103+00:00|2020-09-28T21:46:42.865103+00:00,8|8,Binary black-hole simulation SXS:BBH:1639 | Binary black-hole simulation SXS:BBH:1639
3308870,2,1,True,2019-07-10T19:42:34.499456+00:00|2019-07-10T19:42:34.499456+00:00,2020-09-28T21:46:38.290600+00:00|2020-09-28T21:46:38.290600+00:00,8|8,Binary black-hole simulation SXS:BBH:1685 | Binary black-hole simulation SXS:BBH:1685
3308885,2,1,True,2019-07-10T19:43:07.848709+00:00|2019-07-10T19:43:07.848709+00:00,2020-09-28T21:46:33.929263+00:00|2020-09-28T21:46:33.929263+00:00,8|8,Binary black-hole simulation SXS:BBH:1915 | Binary black-hole simulation SXS:BBH:1915
3308896,2,1,True,2019-07-10T19:43:37.905556+00:00|2019-07-10T19:43:37.905556+00:00,2020-09-28T21:46:28.944375+00:00|2020-09-28T21:46:28.944375+00:00,8|8,Binary black-hole simulation SXS:BBH:2055 | Binary black-hole simulation SXS:BBH:2055
3308925,2,1,True,2019-07-10T19:44:39.990902+00:00|2019-07-10T19:44:39.990902+00:00,2020-09-28T21:46:24.630988+00:00|2020-09-28T21:46:24.630988+00:00,8|8,Binary black-hole simulation SXS:BBH:1684 | Binary black-hole simulation SXS:BBH:1684
3308938,2,1,True,2019-07-10T19:45:12.172700+00:00|2019-07-10T19:45:12.172700+00:00,2020-09-28T21:46:20.477456+00:00|2020-09-28T21:46:20.477456+00:00,8|8,Binary black-hole simulation SXS:BBH:1572 | Binary black-hole simulation SXS:BBH:1572
3308955,2,1,True,2019-07-10T19:45:51.252239+00:00|2019-07-10T19:45:51.252239+00:00,2020-09-28T16:58:49.775420+00:00|2020-09-28T16:58:49.775420+00:00,8|8,Binary black-hole simulation SXS:BBH:1686 | Binary black-hole simulation SXS:BBH:1686
3308974,2,1,True,2019-07-10T19:46:35.926312+00:00|2019-07-10T19:46:35.926312+00:00,2020-09-28T16:58:37.949818+00:00|2020-09-28T16:58:37.949818+00:00,8|8,Binary black-hole simulation SXS:BBH:1789 | Binary black-hole simulation SXS:BBH:1789
3308991,2,1,True,2019-07-10T19:47:19.463602+00:00|2019-07-10T19:47:19.463602+00:00,2020-09-28T16:58:33.924481+00:00|2020-09-28T16:58:33.924481+00:00,8|8,Binary black-hole simulation SXS:BBH:1762 | Binary black-hole simulation SXS:BBH:1762
3309032,2,1,True,2019-07-10T19:48:57.808335+00:00|2019-07-10T19:48:57.808335+00:00,2020-09-28T16:58:22.725635+00:00|2020-09-28T16:58:22.725635+00:00,8|8,Binary black-hole simulation SXS:BBH:1679 | Binary black-hole simulation SXS:BBH:1679
3309059,2,1,True,2019-07-10T19:50:01.060798+00:00|2019-07-10T19:50:01.060798+00:00,2020-09-28T16:58:11.799967+00:00|2020-09-28T16:58:11.799967+00:00,8|8,Binary black-hole simulation SXS:BBH:1635 | Binary black-hole simulation SXS:BBH:1635
3309090,2,1,True,2019-07-10T19:51:13.260562+00:00|2019-07-10T19:51:13.260562+00:00,2020-09-28T16:58:08.144002+00:00|2020-09-28T16:58:08.144002+00:00,8|8,Binary black-hole simulation SXS:BBH:1702 | Binary black-hole simulation SXS:BBH:1702
3309117,2,1,True,2019-07-10T19:52:20.373919+00:00|2019-07-10T19:52:20.373919+00:00,2020-09-28T17:01:33.263791+00:00|2020-09-28T17:01:33.263791+00:00,8|8,Binary black-hole simulation SXS:BBH:1928 | Binary black-hole simulation SXS:BBH:1928
3309154,2,1,True,2019-07-10T19:53:49.417341+00:00|2019-07-10T19:53:49.417341+00:00,2020-09-28T17:01:29.556957+00:00|2020-09-28T17:01:29.556957+00:00,8|8,Binary black-hole simulation SXS:BBH:1771 | Binary black-hole simulation SXS:BBH:1771
3309189,2,1,True,2019-07-10T19:55:19.219663+00:00|2019-07-10T19:55:19.219663+00:00,2020-09-28T17:01:25.986010+00:00|2020-09-28T17:01:25.986010+00:00,8|8,Binary black-hole simulation SXS:BBH:1956 | Binary black-hole simulation SXS:BBH:1956
3309222,2,1,True,2019-07-10T19:56:35.594353+00:00|2019-07-10T19:56:35.594353+00:00,2020-09-28T17:01:22.456196+00:00|2020-09-28T17:01:22.456196+00:00,8|8,Binary black-hole simulation SXS:BBH:1843 | Binary black-hole simulation SXS:BBH:1843
3309251,2,1,True,2019-07-10T19:57:46.620200+00:00|2019-07-10T19:57:46.620200+00:00,2020-09-28T17:01:18.760760+00:00|2020-09-28T17:01:18.760760+00:00,8|8,Binary black-hole simulation SXS:BBH:1814 | Binary black-hole simulation SXS:BBH:1814
3309284,2,1,True,2019-07-10T19:59:03.531806+00:00|2019-07-10T19:59:03.531806+00:00,2020-09-28T17:00:13.202929+00:00|2020-09-28T17:00:13.202929+00:00,8|8,Binary black-hole simulation SXS:BBH:1787 | Binary black-hole simulation SXS:BBH:1787
3309307,2,1,True,2019-07-10T19:59:58.958544+00:00|2019-07-10T19:59:58.958544+00:00,2020-09-28T17:00:09.592676+00:00|2020-09-28T17:00:09.592676+00:00,8|8,Binary black-hole simulation SXS:BBH:1593 | Binary black-hole simulation SXS:BBH:1593
3309331,2,1,True,2019-07-10T20:00:50.712830+00:00|2019-07-10T20:00:50.712830+00:00,2020-09-28T17:00:06.067304+00:00|2020-09-28T17:00:06.067304+00:00,8|8,Binary black-hole simulation SXS:BBH:1626 | Binary black-hole simulation SXS:BBH:1626
3309356,2,1,True,2019-07-10T20:01:47.224401+00:00|2019-07-10T20:01:47.224401+00:00,2020-09-28T16:59:55.718148+00:00|2020-09-28T16:59:55.718148+00:00,8|8,Binary black-hole simulation SXS:BBH:1662 | Binary black-hole simulation SXS:BBH:1662
3309364,2,1,True,2019-07-10T20:11:07.992331+00:00|2019-07-10T20:11:07.992331+00:00,2020-01-24T19:22:55.899094+00:00|2020-01-24T19:22:55.899094+00:00,4|4,Training Dataset | Training Dataset
3309383,2,1,True,2019-07-10T20:02:45.164917+00:00|2019-07-10T20:02:45.164917+00:00,2020-09-28T16:59:52.151673+00:00|2020-09-28T16:59:52.151673+00:00,8|8,Binary black-hole simulation SXS:BBH:1715 | Binary black-hole simulation SXS:BBH:1715
